date,confirmed,deaths,recovered
11/1/20,26732,468,24395
11/2/20,26807,472,24510
11/3/20,26925,474,24616
11/4/20,27050,475,24735
11/5/20,27195,476,24821
11/6/20,27284,477,24910
11/7/20,27427,478,24968
11/8/20,27553,480,25029
11/9/20,27653,485,25160
11/10/20,27799,487,25266
11/11/20,27942,487,25404
11/12/20,28133,488,25537
11/13/20,28338,492,25636
11/14/20,28546,493,25691
11/15/20,28769,494,25759
11/16/20,28998,494,25860
11/17/20,29311,496,25973
11/18/20,29654,498,26098
11/19/20,30017,501,26263
11/20/20,30403,503,26365
11/21/20,30733,505,26466
11/22/20,31004,509,26539
11/23/20,31353,510,26722
11/24/20,31735,513,26825
11/25/20,32318,515,26950
11/26/20,32887,516,27103
11/27/20,33375,522,27349
11/28/20,33824,523,27542
11/29/20,34201,526,27653
11/30/20,34652,526,27885
12/1/20,35163,526,28065
12/2/20,35703,529,28352
12/3/20,36332,536,28611
12/4/20,36915,540,28917
12/5/20,37546,545,29128
12/6/20,38161,549,29301
12/7/20,38755,552,29650
12/8/20,39432,556,30177
12/9/20,40098,564,30637
12/10/20,40786,572,31157
12/11/20,41736,578,31493
12/12/20,42766,580,31814
12/13/20,43484,587,32102
12/14/20,44364,600,32559
12/15/20,45442,612,32947
12/16/20,46453,634,33610
12/17/20,47515,645,33982
12/18/20,48570,659,34334
12/19/20,49665,674,34722
12/20/20,50591,698,35155
12/21/20,51460,722,35928
12/22/20,52550,739,36726
12/23/20,53533,756,37425
12/24/20,54770,773,38048
12/25/20,55902,793,38532
12/26/20,56872,808,39040
12/27/20,57680,819,39268
12/28/20,58725,859,40703
12/29/20,59773,879,41435
12/30/20,60740,900,42271
12/31/20,61769,917,42953
1/1/21,62593,942,43578
1/2/21,63244,962,44507
1/3/21,64264,981,45240
1/4/21,64979,1007,46172
1/5/21,65818,1027,46995
1/6/21,66686,1046,47649
1/7/21,67358,1081,48369
1/8/21,67999,1100,49324
1/9/21,68664,1125,50409
1/10/21,69114,1140,52552
1/11/21,69651,1165,53569
1/12/21,70212,1185,54636
1/13/21,70728,1195,55772
1/14/21,71241,1217,56536
1/15/21,71820,1236,57554
1/16/21,72340,1249,58253
1/17/21,72729,1264,58723
1/18/21,73115,1283,59468
1/19/21,73518,1300,60180
1/20/21,73918,1316,60846
1/21/21,74262,1328,61415
1/22/21,74692,1337,62044
1/23/21,75084,1349,62530
1/24/21,75521,1360,62956
1/25/21,75875,1371,64793
1/26/21,76429,1378,65478
1/27/21,76926,1386,66016
1/28/21,77395,1399,66503
1/29/21,77850,1414,67121
1/30/21,78205,1420,67878
1/31/21,78508,1425,68309
